2018-08-01 15:17:03,767 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-08-01 15:23:26,172 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-08-01 15:27:58,821 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-08-01 15:36:26,381 [Worker-31: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: niikp:niikp:0.0.1-SNAPSHOT @ E:\Java\niikp\pom.xml.
2018-08-01 15:36:26,541 [Worker-31: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-server:jar:9.4.11.v20180605 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-08-01 15:36:26,584 [Worker-31: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-servlet:jar:9.4.11.v20180605 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-08-01 15:36:26,904 [Worker-31: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-server:jar:9.4.11.v20180605 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-08-01 15:36:26,907 [Worker-31: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-servlet:jar:9.4.11.v20180605 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-08-01 15:36:28,390 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-08-01 15:36:28,390 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Java\niikp\src\main\resources
2018-08-01 15:36:28,392 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-08-01 15:36:28,392 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Java\niikp\src\test\resources
2018-08-01 15:36:29,618 [Worker-27: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: niikp:niikp:0.0.1-SNAPSHOT @ E:\Java\niikp\pom.xml.
